Brand,Processor,Graphic Processor,Capacity,RAM Type,RAM Speed,SSD Capacity,SSD Type,Graphics Memory,Battery Capacity,Battery Type,Weight,Warranty,Wi-Fi Version,Bluetooth Version,Price (Rs),Category,Processor Tier,GPU Tier
Dell,Intel Core i5-7300HQ,NVIDIA GeForce GTX 1050 Ti,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,60.0,Li-Ion,2.62,1.0,5.0,4.2,64990.0,Student,Upper Midrange,Entry Gaming
Dell,Intel Core i5-7200U,AMD Radeon R5 M430,4.0,DDR4,3200.0,256.0,"2.5"" SATA",2,52.0,Li-Ion,2.5,1.0,5.0,4.1,44182.0,Budget,Upper Midrange,Other
MSI,Intel Core i5-10510U,Intel UHD Graphics,8.0,DDR4,2666.0,256.0,"2.5"" SATA",0,52.0,Li-Po,1.19,1.0,5.0,5.0,54990.0,Business,Upper Midrange,Integrated
Lenovo,AMD Ryzen 5 4600H,NVIDIA GeForce GTX 1650,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,60.0,Li-Ion,2.2,1.0,5.0,5.0,66490.0,Gaming,Upper Midrange,Entry Gaming
Asus,Intel Core i5-1035G1,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,90.0,Li-Ion,1.8,1.0,5.0,4.1,50990.0,Student,Upper Midrange,Integrated
Lenovo,AMD Ryzen 5 5500U,AMD Radeon Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,45.0,Li-Ion,1.66,1.0,6.0,5.0,48440.0,Business,Upper Midrange,Integrated
MSI,AMD Ryzen 7 5800H,AMD Radeon RX 6600M,16.0,DDR4,3200.0,512.0,"2.5"" SATA",8,80.0,Li-Ion,2.35,1.0,6.0,5.1,114990.0,Gaming,High End,Upper Midrange
Asus,Intel Core i5-1135G7,Intel Iris Xe Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,90.0,Li-Ion,1.6,1.0,5.0,4.1,65999.0,Business,Upper Midrange,Integrated
MSI,AMD Ryzen 7 5800H,AMD Radeon RX 6600M,8.0,DDR4,3200.0,256.0,"2.5"" SATA",8,80.0,Li-Ion,2.35,1.0,5.0,5.1,84990.0,Gaming,High End,Upper Midrange
Asus,Intel Core i3-1005G1,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,90.0,Li-Ion,1.8,1.0,5.0,4.1,27990.0,Budget,Midrange,Integrated
MSI,Intel Core i5-1235U,Intel Iris Xe Graphics,16.0,DDR4,3200.0,512.0,"2.5"" SATA",0,52.0,Li-Ion,1.4,1.0,6.0,5.2,40499.0,Business,Upper Midrange,Integrated
Acer,Intel Core i5-8300H,NVIDIA GeForce GTX 1060,16.0,DDR4,2133.0,512.0,"2.5"" SATA",6,60.0,Li-Ion,2.7,1.0,5.0,5.0,125990.0,Gaming,Upper Midrange,Midrange
HP,Intel Core i5-1135G7,Intel Iris Xe Graphics,8.0,DDR4,3200.0,256.0,M.2,0,52.0,Li-Ion,1.14,1.0,5.0,5.0,59860.0,Business,Upper Midrange,Integrated
HP,AMD E2-9000e,AMD Radeon R2,4.0,DDR4,3200.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.86,1.0,4.0,4.0,24955.0,Budget,Entry,Other
HP,AMD Ryzen 5 5600H,NVIDIA GeForce GTX 1650,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,60.0,Li-Po,2.46,1.0,6.0,5.2,62112.0,Gaming,Upper Midrange,Entry Gaming
HP,Intel Core i5-11300H,NVIDIA GeForce GTX 1650,8.0,DDR4,3200.0,256.0,M.2/Optane,4,60.0,Li-Po,2.23,1.0,5.0,5.2,68200.0,Gaming,Upper Midrange,Entry Gaming
Lenovo,Intel Core i7-10750H,NVIDIA GeForce GTX 1650 Ti,8.0,DDR4,2933.0,256.0,"2.5"" SATA",4,60.0,Li-Po,2.2,1.0,6.0,5.0,82990.0,Gaming,High End,Entry Gaming
Lenovo,Intel Core i5-11300H,NVIDIA GeForce GTX 1650,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,60.0,Li-Ion,2.25,1.0,5.0,5.0,48411.0,Gaming,Upper Midrange,Entry Gaming
Lenovo,AMD Ryzen 5 3500U,AMD Radeon Vega 8,8.0,DDR4,2400.0,256.0,"2.5"" SATA",0,45.0,Li-Ion,1.85,1.0,5.0,4.1,38990.0,Budget,Upper Midrange,Integrated
MSI,Intel Core i7-11800H,NVIDIA GeForce GTX 1650 Max-Q,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,60.0,Li-Ion,1.86,2.0,6.0,5.2,71490.0,Gaming,High End,Entry Gaming
Lenovo,Intel Core i5-10300H,NVIDIA GeForce GTX 1650,8.0,DDR4,2933.0,256.0,"2.5"" SATA",4,60.0,Li-Ion,2.3,1.0,6.0,5.0,62490.0,Gaming,Upper Midrange,Entry Gaming
Acer,Intel Core i7-8550U,Intel UHD 620,8.0,DDR4,2133.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,0.97,1.0,5.0,4.1,84990.0,Business,High End,Integrated
HP,Intel Celeron-N4500,Intel UHD Graphics,4.0,LPDDR4,2933.0,256.0,"2.5"" SATA",0,38.0,Li-Ion,1.46,1.0,5.0,5.0,20590.0,Business,Budget,Integrated
Acer,AMD Ryzen 3 3250U,AMD Radeon Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,45.0,Li-Ion,1.9,1.0,5.0,4.1,26999.0,Budget,Midrange,Integrated
HP,Intel Core i5-7200U,AMD Radeon 520,8.0,DDR4,2133.0,256.0,"2.5"" SATA",2,52.0,Li-Ion,1.86,1.0,4.0,4.0,42990.0,Budget,Upper Midrange,Other
Dell,AMD Ryzen 3 3250U,AMD Radeon Graphics,8.0,DDR4,2400.0,256.0,"2.5"" SATA",0,45.0,Li-Ion,1.83,1.0,5.0,4.1,40190.0,Budget,Midrange,Integrated
Avita,Intel Celeron Dual Core-N4020,Intel UHD Graphics,4.0,LPDDR4,2133.0,256.0,"2.5"" SATA",0,38.0,Li-Ion,1.3,1.0,4.0,4.0,18990.0,Business,Budget,Integrated
HP,Intel Core i3-1125G4,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.5,1.0,6.0,5.2,49990.0,Business,Midrange,Integrated
HP,Intel Core i5-7200U,AMD Radeon 520,8.0,DDR4,2133.0,256.0,"2.5"" SATA",2,52.0,Li-Ion,1.86,1.0,4.0,4.0,50790.0,Student,Upper Midrange,Other
Asus,Intel Core i5-12450H,NVIDIA GeForce RTX 3050,16.0,DDR4,3200.0,512.0,"2.5"" SATA",4,90.0,Li-Ion,1.8,1.0,6.0,5.0,66990.0,Gaming,Upper Midrange,Entry Gaming
Acer,Intel Core i5-12450H,NVIDIA GeForce RTX 3050,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,70.0,Li-Ion,2.6,1.0,6.0,5.1,77425.0,Gaming,Upper Midrange,Entry Gaming
Avita,Intel Celeron Dual Core-N4020,Intel UHD 600,4.0,LPDDR4,3200.0,256.0,"2.5"" SATA",0,38.0,Li-Ion,1.3,1.0,4.0,4.0,17490.0,Business,Budget,Integrated
HP,Intel Core i3-1125G4,Intel UHD Graphics,8.0,DDR4,2666.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.7,1.0,5.0,5.0,32800.0,Business,Midrange,Integrated
realme,Intel Core i5-11320H,Intel Iris Xe Graphics,16.0,DDR4,4266.0,512.0,"2.5"" SATA",0,52.0,Li-Ion,1.37,1.0,6.0,5.2,64990.0,Business,Upper Midrange,Integrated
Acer,Intel Core i5-8250U,NVIDIA GeForce MX150,8.0,DDR4,2400.0,256.0,"2.5"" SATA",0,50.0,Li-Ion,2.2,1.0,5.0,4.0,50279.0,Student,Upper Midrange,Entry Gaming
Lenovo,Intel Core i5-1035G1,Intel UHD Graphics,8.0,DDR4,2666.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.85,1.0,5.0,5.0,42990.0,Budget,Upper Midrange,Integrated
MSI,Intel Core i7,NVIDIA GeForce RTX 3050,16.0,DDR4,3200.0,512.0,"2.5"" SATA",4,70.0,Li-Ion,1.86,1.0,6.0,5.1,72990.0,Gaming,High End,Entry Gaming
Acer,Intel Core i5-12450H,NVIDIA GeForce RTX 3050,16.0,DDR4,3200.0,512.0,"2.5"" SATA",4,70.0,Li-Ion,2.5,1.0,5.0,5.1,70990.0,Gaming,Upper Midrange,Entry Gaming
Asus,Intel Core i5-1135G7,Intel Iris Xe Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,90.0,Li-Ion,1.8,1.0,6.0,5.0,51990.0,Student,Upper Midrange,Integrated
Lenovo,Intel Core i3-1215U,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,M.2,0,52.0,Li-Ion,1.6,1.0,6.0,5.1,32990.0,Business,Midrange,Integrated
Lenovo,AMD Ryzen 5 4500U,AMD Radeon Graphics,8.0,DDR4,2666.0,256.0,"2.5"" SATA",0,45.0,Li-Ion,1.65,1.0,5.0,5.1,58990.0,Business,Upper Midrange,Integrated
HP,AMD Ryzen 5 5625U,AMD Radeon Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,41.0,Li-Ion,1.75,1.0,5.0,5.2,41989.0,Budget,Upper Midrange,Integrated
HP,AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3050,16.0,DDR4,3200.0,512.0,M.2,4,70.0,Li-Ion,1.98,1.0,5.0,5.2,67999.0,Gaming,High End,Entry Gaming
Asus,Intel Core i5-11400H,NVIDIA GeForce RTX 3050,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,90.0,Li-Ion,2.3,1.0,6.0,5.2,57999.0,Gaming,Upper Midrange,Entry Gaming
Apple,Apple M3 Chip,Apple M3 GPU,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,52.6,Li-Po,1.24,1.0,6.0,5.3,104990.0,Business,Midrange,Integrated
Lenovo,Intel Core i5-1035G1,Intel UHD Graphics,8.0,DDR4,2666.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.8,1.0,5.0,5.0,39999.0,Budget,Upper Midrange,Integrated
MSI,AMD Ryzen 7 3750H,AMD Radeon RX 5500M,16.0,DDR4,3200.0,512.0,"2.5"" SATA",4,70.0,Li-Ion,2.33,1.0,4.0,5.0,69990.0,Gaming,High End,Midrange
Asus,Intel Core i3-10110U,Intel UHD Graphics,4.0,DDR4,2666.0,256.0,"2.5"" SATA",0,90.0,Li-Ion,1.5,1.0,6.0,5.0,46990.0,Business,Midrange,Integrated
MSI,Intel Core i5-10500H,NVIDIA GeForce RTX 3060,16.0,DDR4,3200.0,512.0,"2.5"" SATA",6,70.0,Li-Ion,1.86,1.0,6.0,5.1,89990.0,Gaming,Upper Midrange,Upper Midrange
Acer,Intel Core i5-8300H,NVIDIA GeForce GTX 1050,8.0,DDR4,2400.0,256.0,M.2/Optane,4,60.0,Li-Ion,2.7,1.0,5.0,4.2,68990.0,Student,Upper Midrange,Entry Gaming
Lenovo,AMD A6 9225,AMD Radeon R4,4.0,DDR4,2133.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.3,1.0,4.0,4.1,18990.0,Business,Entry,Other
Lenovo,Intel Core i3-7100U,Intel HD 620,4.0,DDR4,2133.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,2.2,1.0,5.0,4.1,38000.0,Budget,Midrange,Other
Acer,Intel Core i5-10300H,NVIDIA GeForce GTX 1650 Ti,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,60.0,Li-Ion,1.7,1.0,6.0,5.0,74990.0,Gaming,Upper Midrange,Entry Gaming
Infinix,Intel Core i5-1035G1,Intel UHD Graphics,16.0,LPDDR4X,4266.0,512.0,"2.5"" SATA",0,52.0,Li-Ion,1.24,1.0,5.0,5.1,39999.0,Business,Upper Midrange,Integrated
Asus,Intel Core i5-1035G1,NVIDIA GeForce MX110,8.0,DDR4,3200.0,256.0,"2.5"" SATA",2,90.0,Li-Ion,1.9,1.0,5.0,4.1,51990.0,Student,Upper Midrange,Entry Gaming
Acer,Intel Core i3-1215U,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,45.0,Li-Ion,1.7,1.0,5.0,5.0,29200.0,Business,Midrange,Integrated
Asus,Intel Core i5-8250U,Intel UHD 620,8.0,LPDDR3,2133.0,256.0,"2.5"" SATA",0,90.0,Li-Po,0.98,1.0,5.0,4.2,66490.0,Business,Upper Midrange,Integrated
Samsung,Intel Core i7-1355U,Intel Iris Xe Graphics,16.0,LPDDR4X,3200.0,512.0,"2.5"" SATA",0,52.0,Li-Ion,1.57,1.0,6.0,5.1,62990.0,Business,High End,Integrated
Asus,Intel Core i3-1005G1,Intel UHD Graphics,4.0,DDR4,3200.0,256.0,"2.5"" SATA",0,90.0,Li-Ion,1.9,1.0,5.0,4.1,30576.0,Budget,Midrange,Integrated
HP,AMD E2-9000e,AMD Radeon R2,4.0,DDR4,1866.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.77,1.0,4.0,4.2,21999.0,Budget,Entry,Other
HP,Intel Core i5-1035G1,Intel UHD Graphics,8.0,DDR4,2666.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.6,1.0,5.0,5.0,53990.0,Business,Upper Midrange,Integrated
MSI,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1060,16.0,DDR4,2400.0,512.0,"2.5"" SATA",6,60.0,Li-Ion,2.2,1.0,5.0,4.2,119990.0,Gaming,High End,Midrange
HP,AMD Ryzen 5 5500U,AMD Radeon Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,45.0,Li-Ion,1.75,1.0,5.0,5.0,46499.0,Budget,Upper Midrange,Integrated
Asus,AMD Ryzen 5 4600H,NVIDIA GeForce GTX 1650,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,90.0,Li-Ion,2.6,1.0,5.0,5.0,64490.0,Gaming,Upper Midrange,Entry Gaming
Lenovo,Intel Core i3-1215U,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,45.0,Li-Ion,1.63,1.0,6.0,5.1,33499.0,Business,Midrange,Integrated
Lenovo,Intel Core i5-8250U,NVIDIA GeForce MX110,8.0,DDR4,2133.0,256.0,"2.5"" SATA",2,35.0,Li-Ion,1.85,1.0,5.0,4.1,39990.0,Budget,Upper Midrange,Entry Gaming
Dell,Intel Core i3-1115G4,Intel UHD Graphics,8.0,DDR4,2666.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.85,1.0,5.0,5.0,44260.0,Budget,Midrange,Integrated
HP,AMD Quad-Core A8-7410,AMD Radeon R5 M430,4.0,DDR3,1600.0,256.0,"2.5"" SATA",2,52.0,Li-Ion,2.19,1.0,4.0,4.0,28990.0,Budget,Entry,Other
Acer,Intel Core i3-N305,Intel UHD Graphics,8.0,LPDDR5,5200.0,256.0,"2.5"" SATA",0,40.0,Li-Ion,1.7,1.0,6.0,5.1,32990.0,Business,Midrange,Integrated
Dell,Intel Core i3-1125G4,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.56,1.0,6.0,5.0,50733.0,Business,Midrange,Integrated
Asus,Intel Core i5-12450H,NVIDIA GeForce RTX 3050,8.0,DDR5,5200.0,256.0,"2.5"" SATA",4,90.0,Li-Ion,2.0,1.0,6.0,5.1,90990.0,Gaming,Upper Midrange,Entry Gaming
Dell,Intel Core i3-1115G4,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.6,1.0,5.0,Unknown,40300.0,Business,Midrange,Integrated
Avita,Intel Celeron Dual Core N4000,Intel UHD 600,4.0,DDR4,3200.0,256.0,"2.5"" SATA",0,38.0,Li-Ion,1.32,1.0,5.0,4.0,20999.0,Business,Budget,Integrated
Asus,AMD Ryzen 7 3750H,NVIDIA GeForce GTX 1660 Ti,16.0,DDR4,2400.0,512.0,"2.5"" SATA",6,90.0,Li-Ion,2.2,1.0,5.0,4.2,74990.0,Gaming,High End,Midrange
Lenovo,Intel Core i3-1115G4,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.41,2.0,Unknown,5.0,38990.0,Business,Midrange,Integrated
Lenovo,Intel Core i3-1005G1,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.5,1.0,5.0,4.2,50990.0,Business,Midrange,Integrated
MSI,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1050 Ti,8.0,DDR4,2400.0,256.0,"2.5"" SATA",4,60.0,Li-Ion,2.2,1.0,5.0,4.2,96490.0,Student,High End,Entry Gaming
Asus,AMD Ryzen 7 6800H,NVIDIA GeForce RTX 3050,16.0,DDR4,3200.0,512.0,"2.5"" SATA",4,56.0,Li-Ion,2.1,1.0,6.0,5.2,78190.0,Gaming,High End,Entry Gaming
HP,AMD Ryzen 5 4500U,AMD Radeon Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,45.0,Li-Ion,1.32,1.0,5.0,5.0,87990.0,Business,Upper Midrange,Integrated
Asus,AMD Ryzen 7 6800H,NVIDIA GeForce RTX 3050,16.0,DDR5,5200.0,512.0,M.2,4,56.0,Li-Ion,2.1,1.0,6.0,5.3,78999.0,Gaming,High End,Entry Gaming
Acer,Intel Core i3-1215U,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,M.2,0,40.0,Li-Ion,1.7,1.0,6.0,5.0,31990.0,Business,Midrange,Integrated
Lenovo,Intel Core i3-1115G4,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.41,1.0,5.0,5.0,48134.0,Business,Midrange,Integrated
Lenovo,AMD Ryzen 5 4600H,NVIDIA GeForce GTX 1650,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,60.0,Li-Po,2.3,1.0,6.0,5.0,69789.0,Gaming,Upper Midrange,Entry Gaming
HP,Intel Core i3-1005G1,Intel UHD Graphics,8.0,DDR4,2666.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.77,1.0,5.0,5.0,42990.0,Budget,Midrange,Integrated
MSI,Intel Core i5-11400H,NVIDIA GeForce RTX 3050,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,70.0,Li-Ion,1.86,2.0,6.0,5.2,59789.0,Gaming,Upper Midrange,Entry Gaming
HP,Intel Core i7-10510U,Intel UHD Graphics,8.0,DDR4,2666.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.58,1.0,6.0,5.0,74990.0,Business,High End,Integrated
Lenovo,AMD Ryzen 5 4600H,NVIDIA GeForce GTX 1650,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,60.0,Li-Ion,2.2,1.0,6.0,5.0,66990.0,Gaming,Upper Midrange,Entry Gaming
Asus,Intel Core i7-9750H,NVIDIA GeForce GTX 1650,16.0,DDR4,2666.0,512.0,"2.5"" SATA",4,90.0,Li-Ion,2.4,1.0,5.0,5.0,77990.0,Gaming,High End,Entry Gaming
Acer,Intel Core i5-8250U,NVIDIA GeForce MX150,8.0,DDR4,2133.0,256.0,"2.5"" SATA",2,50.0,Li-Ion,2.1,1.0,5.0,4.0,59990.0,Student,Upper Midrange,Entry Gaming
Asus,Intel Core i3-1115G4,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,90.0,Li-Ion,1.4,1.0,6.0,5.0,35990.0,Business,Midrange,Integrated
HP,AMD Ryzen 5 5500U,AMD Radeon Graphics,16.0,DDR4,3200.0,512.0,"2.5"" SATA",0,45.0,Li-Ion,1.41,1.0,6.0,5.2,61990.0,Business,Upper Midrange,Integrated
Asus,Intel Core i7-11800H,NVIDIA GeForce RTX 3050,16.0,DDR4,3200.0,512.0,"2.5"" SATA",4,90.0,Li-Ion,2.3,1.0,6.0,5.2,96490.0,Gaming,High End,Entry Gaming
Acer,Intel Core i5-8250U,NVIDIA GeForce MX130,8.0,DDR4,2133.0,256.0,"2.5"" SATA",2,50.0,Li-Ion,2.1,1.0,5.0,4.0,40990.0,Budget,Upper Midrange,Entry Gaming
MSI,Intel Core i5-11400H,NVIDIA GeForce RTX 3050,16.0,DDR4,3200.0,512.0,"2.5"" SATA",4,70.0,Li-Ion,1.86,2.0,6.0,5.2,64671.0,Gaming,Upper Midrange,Entry Gaming
Asus,AMD Ryzen 5 4600H,NVIDIA GeForce GTX 1650,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,90.0,Li-Po,2.3,1.0,6.0,5.1,56990.0,Gaming,Upper Midrange,Entry Gaming
Lenovo,Intel Celeron Dual Core N4020,Intel UHD Graphics,4.0,DDR4,3200.0,256.0,"2.5"" SATA",0,38.0,Li-Ion,1.2,1.0,6.0,4.2,23999.0,Business,Budget,Integrated
Asus,Intel Core i3-8130U,Intel UHD 620,8.0,DDR4,2400.0,256.0,"2.5"" SATA",0,90.0,Li-Ion,1.3,1.0,5.0,4.0,53990.0,Business,Midrange,Integrated
Asus,Intel Core i3-8130U,Intel UHD 620,8.0,DDR4,2400.0,256.0,"2.5"" SATA",0,90.0,Li-Ion,1.3,2.0,5.0,4.1,44990.0,Business,Midrange,Integrated
HP,AMD Ryzen 5 3500U,AMD Radeon Vega 8,8.0,DDR4,2400.0,256.0,"2.5"" SATA",0,45.0,Li-Ion,1.85,1.0,5.0,4.2,37674.0,Budget,Upper Midrange,Integrated
Acer,AMD Ryzen 3 7320U,AMD Radeon Graphics,8.0,LPDDR5,5200.0,256.0,"2.5"" SATA",0,45.0,Li-Ion,1.78,1.0,5.0,5.1,40849.0,Budget,Midrange,Integrated
Acer,Intel Core i5-8250U,NVIDIA GeForce MX150,8.0,DDR4,2133.0,256.0,"2.5"" SATA",2,50.0,Li-Ion,1.8,1.0,5.0,4.0,64990.0,Student,Upper Midrange,Entry Gaming
Lenovo,AMD Ryzen 5 5500H,NVIDIA GeForce RTX 2050,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,45.0,Li-Ion,2.25,1.0,6.0,5.1,49990.0,Gaming,Upper Midrange,Entry Gaming
Lenovo,Intel Core i3-8130U,Intel UHD 620,4.0,DDR4,2133.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.85,1.0,5.0,4.2,34190.0,Budget,Midrange,Integrated
Acer,AMD Ryzen 5 2500U,AMD Radeon Vega 8,4.0,DDR4,2133.0,256.0,"2.5"" SATA",0,45.0,Li-Ion,2.2,1.0,5.0,4.1,35534.0,Budget,Upper Midrange,Integrated
Asus,Intel Core i3-1115G4,Intel UHD Graphics,8.0,DDR4,3200.0,256.0,"2.5"" SATA",0,90.0,Li-Ion,1.8,1.0,5.0,4.1,57940.0,Student,Midrange,Integrated
Lenovo,Intel Core i3-10110U,Intel UHD Graphics,8.0,DDR4,2666.0,256.0,"2.5"" SATA",0,52.0,Li-Po,1.7,1.0,5.0,5.0,31990.0,Business,Midrange,Integrated
HP,Intel Core i5-1035G1,Intel UHD Graphics,8.0,DDR4,2666.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.46,1.0,5.0,5.0,57458.0,Business,Upper Midrange,Integrated
HP,AMD Athlon P-3045B,Intel UHD Graphics,8.0,DDR4,2400.0,256.0,"2.5"" SATA",0,38.0,Li-Ion,1.5,1.0,Unknown,Unknown,23999.0,Business,Budget,Integrated
Asus,Intel Celeron Dual Core N3350,Intel HD 500,4.0,LPDDR4X,3200.0,256.0,"2.5"" SATA",0,90.0,Li-Ion,1.0,1.0,5.0,4.0,13890.0,Business,Budget,Other
Apple,Intel Core i5-1038NG7,Intel Iris Plus,16.0,LPDDR4X,3733.0,512.0,"2.5"" SATA",0,52.0,Li-Po,1.4,1.0,5.0,5.0,194900.0,Premium,Upper Midrange,Integrated
Lenovo,Intel Core i5-8265U,Intel UHD 620,8.0,DDR4,2400.0,256.0,"2.5"" SATA",0,52.0,Li-Po,1.85,1.0,5.0,4.2,44990.0,Budget,Upper Midrange,Integrated
MSI,Intel Core i3-10110U,Intel UHD Graphics,8.0,DDR4,2666.0,256.0,"2.5"" SATA",0,52.0,Li-Ion,1.3,1.0,5.0,5.0,47490.0,Business,Midrange,Integrated
Lenovo,Intel Core i5-1035G1,NVIDIA GeForce MX230,8.0,DDR4,2666.0,256.0,"2.5"" SATA",2,50.0,Li-Ion,1.69,1.0,5.0,5.0,54990.0,Business,Upper Midrange,Entry Gaming
Asus,AMD Ryzen 5 4600H,NVIDIA GeForce GTX 1650,8.0,DDR4,3200.0,256.0,"2.5"" SATA",4,90.0,Li-Po,2.6,1.0,5.0,5.0,64990.0,Gaming,Upper Midrange,Entry Gaming
